quote_id,account_id,year,offered_rate_change_pct,renewed,premium,risk_score_at_quote,rating_region,industry,covered_lives_2025,annual_premium_2025,risk_score_2025,risk_band,renewal_month,medical_cost_inflation_pct,utilization_trend_pct,unemployment_rate_pct,paid_claims,allowed_claims,claim_count,unique_members,claim_severity,median_claim,p90_claim,max_claim,provider_count,mlr,claims_per_life,paid_per_life,claims_premium_gap,loss_making
Q202300001,ACC00001,2023,15,1,781180.5,0.7627,R24,Retail,113,684580.32,0.717,0.50–0.99,1,4.632,1.054,6.357,,,,,,,,,,,,,,False
Q202300002,ACC00002,2023,5,1,501958.27,0.7723,R47,Financial services,76,499477.76,0.7489,0.50–0.99,5,5.224,1.71,4.764,,,,,,,,,,,,,,False
Q202300003,ACC00003,2023,15,1,2043522.24,0.2729,R04,Financial services,349,1814285.13,0.2664,0.15–0.49,11,5.506,2.886,3.088,,,,,,,,,,,,,,False
Q202300004,ACC00004,2023,5,1,1752896.88,0.4739,R23,Financial services,233,1834061.38,0.53,0.50–0.99,7,5.607,2.166,2.642,,,,,,,,,,,,,,False
Q202300005,ACC00005,2023,15,1,2062029.15,2.1041,R39,Retail,256,1756384.54,2.0557,1.50–2.49,7,6.031,1.742,3.346,,,,,,,,,,,,,,False
Q202300006,ACC00006,2023,-5,1,1299187.95,1.2075,R31,Technology,197,1363414.01,1.1874,1.00–1.49,9,6.06,1.539,3.951,,,,,,,,,,,,,,False
Q202300007,ACC00007,2023,5,1,1115490.11,0.9377,R01,Hospitality,224,1140978.78,0.8864,0.50–0.99,11,5.669,1.971,2.571,,,,,,,,,,,,,,False
Q202300008,ACC00008,2023,5,1,623417.97,0.3001,R01,Healthcare,128,649001.11,0.2714,0.15–0.49,4,5.669,1.971,2.571,,,,,,,,,,,,,,False
Q202300009,ACC00009,2023,-5,0,383705.82,0.4388,R19,Healthcare,62,432274.67,0.3413,0.15–0.49,8,6.275,2.084,4.082,,,,,,,,,,,,,,False
Q202300010,ACC00010,2023,5,1,1655149.04,0.3945,R33,Retail,223,1666802.68,0.4028,0.15–0.49,4,5.225,2.295,3.243,,,,,,,,,,,,,,False
Q202300011,ACC00011,2023,15,1,937654.43,0.7132,R05,Healthcare,147,851188.63,0.7271,0.50–0.99,9,5.382,2.275,3.796,,,,,,,,,,,,,,False
Q202300012,ACC00012,2023,10,1,2175399.69,1.2245,R19,Manufacturing,254,1947028.19,1.262,1.00–1.49,12,6.275,2.084,4.082,,,,,,,,,,,,,,False
Q202300013,ACC00013,2023,0,1,596282.52,0.2164,R27,Technology,117,592532.36,0.1734,0.15–0.49,6,5.756,1.129,3.181,,,,,,,,,,,,,,False
