account_id,rating_region,industry,renewal_month,covered_lives_2025,annual_premium_2025,latest_risk_score,risk_band,latest_premium,paid_claims,latest_mlr,latest_claim_count,latest_claim_frequency,latest_claim_severity,median_claim,p90_claim,max_claim,claims_premium_gap,loss_making,unemployment_rate_2025,renewed_flag_2023,renewed_flag_2024,renewed_flag_2025,quoted_rate_change_pct_2023,quoted_rate_change_pct_2024,quoted_rate_change_pct_2025,quoted_annual_premium_2023,quoted_annual_premium_2024,quoted_annual_premium_2025,risk_score_at_quote_2023,risk_score_at_quote_2024,risk_score_at_quote_2025,renewal_count_3yr,renewal_rate_3yr,rate_change_mean_3yr,rate_change_slope,risk_score_change,historical_loss_making_indicator,three_year_average_mlr,claims_trend
ACC00001,R24,Retail,1,113,684580.32,0.717,0.50–0.99,627209.06,315973.42,0.5037768746516512,76,0.672566371681416,4157.545,1168.355,11071.470000000001,59715.64,-311235.6400000001,False,3.647,1.0,1.0,1.0,15.0,5.0,-10.0,781180.5,724754.64,627209.06,0.7627,0.7383,0.7521,3.0,1.0,3.3333333333333335,-12.5,-0.010600000000000054,0,,
ACC00002,R47,Financial services,5,76,499477.76,0.7489,0.50–0.99,523151.04,695337.76,1.3291338577860803,66,0.868421052631579,10535.420606060607,2304.6400000000003,19550.19,299123.54,172186.72000000003,True,3.295,1.0,1.0,1.0,5.0,0.0,10.0,501958.27,483909.73,523151.04,0.7723,0.8362,0.7252,3.0,1.0,5.0,2.5,-0.04710000000000003,1,,
ACC00003,R04,Financial services,11,349,1814285.13,0.2664,0.15–0.49,1946636.31,526992.84,0.2707197216515498,173,0.49570200573065903,3046.2013872832367,1178.68,6181.202000000002,57705.47,-1419643.4700000002,False,2.271,1.0,1.0,1.0,15.0,5.0,5.0,2043522.24,1815353.18,1946636.31,0.2729,0.2634,0.2515,3.0,1.0,8.333333333333334,-5.0,-0.021399999999999975,0,,
ACC00004,R23,Financial services,7,233,1834061.38,0.53,0.50–0.99,1970227.51,1106250.57,0.5614836684520764,160,0.6866952789699571,6914.0660625,2037.73,16549.978999999992,132454.13,-863976.94,False,3.089,1.0,0.0,1.0,5.0,10.0,5.0,1752896.88,2011638.84,1970227.51,0.4739,0.5013,0.4907,2.0,0.6666666666666666,6.666666666666667,0.0,0.016800000000000037,0,,
ACC00005,R39,Retail,7,256,1756384.54,2.0557,1.50–2.49,1874362.12,2893400.31,1.543671993328589,261,1.01953125,11085.824942528736,3608.74,25908.47,254700.57,1019038.19,True,3.907,1.0,1.0,1.0,15.0,-5.0,5.0,2062029.15,1691145.96,1874362.12,2.1041,2.0244,2.0623,3.0,1.0,5.0,-5.0,-0.04179999999999984,1,,
ACC00006,R31,Technology,9,197,1363414.01,1.1874,1.00–1.49,1417793.42,1463115.69,1.0319667656519382,172,0.8730964467005076,8506.486569767441,2618.1499999999996,18829.32600000001,328456.45,45322.27000000002,True,2.778,1.0,1.0,1.0,-5.0,10.0,10.0,1299187.95,1426478.04,1417793.42,1.2075,1.1613,1.2925,3.0,1.0,5.0,7.5,0.08499999999999996,1,,
ACC00007,R01,Hospitality,11,224,1140978.78,0.8864,0.50–0.99,1295894.75,881956.12,0.6805769681526991,156,0.6964285714285714,5653.564871794872,1593.1399999999999,13323.115,78512.57,-413938.63,False,3.721,1.0,1.0,1.0,5.0,15.0,20.0,1115490.11,1226588.61,1295894.75,0.9377,0.9325,0.9809,3.0,1.0,13.333333333333334,7.5,0.043200000000000016,0,,
ACC00008,R01,Healthcare,4,128,649001.11,0.2714,0.15–0.49,660587.37,278013.36,0.4208578193070812,64,0.5,4343.95875,2073.265,8991.28,47127.62,-382574.01,False,3.721,1.0,1.0,0.0,5.0,-15.0,0.0,623417.97,563062.14,660587.37,0.3001,0.3714,0.3101,2.0,0.6666666666666666,-3.3333333333333335,-2.5,0.010000000000000009,0,,
ACC00009,R19,Healthcare,8,62,432274.67,0.3413,0.15–0.49,407128.2,106130.76999999999,0.2606814511989098,25,0.4032258064516129,4245.230799999999,937.77,11617.954000000002,25145.72,-300997.43000000005,False,4.492,0.0,0.0,1.0,-5.0,10.0,-5.0,383705.82,444912.77,407128.2,0.4388,0.2894,0.3185,1.0,0.3333333333333333,0.0,0.0,-0.12030000000000002,0,,
ACC00010,R33,Retail,4,223,1666802.68,0.4028,0.15–0.49,1538046.66,289855.75,0.1884570589035316,106,0.47533632286995514,2734.4882075471696,733.635,7633.87,25502.44,-1248190.91,False,4.307,1.0,0.0,1.0,5.0,20.0,0.0,1655149.04,1960796.97,1538046.66,0.3945,0.3406,0.4488,2.0,0.6666666666666666,8.333333333333334,-2.5,0.05429999999999996,0,,
ACC00011,R05,Healthcare,9,147,851188.63,0.7271,0.50–0.99,932586.75,531590.98,0.570017727573333,114,0.7755102040816326,4663.078771929824,2508.2749999999996,11398.677000000001,60115.72,-400995.77,False,3.266,1.0,0.0,1.0,15.0,25.0,10.0,937654.43,1020028.23,932586.75,0.7132,0.8112,0.6354,2.0,0.6666666666666666,16.666666666666668,-2.5,-0.07779999999999998,0,,
ACC00012,R19,Manufacturing,12,254,1947028.19,1.262,1.00–1.49,1753741.21,1963121.51,1.1193906482929714,209,0.8228346456692913,9392.925885167464,2301.09,15849.36000000001,240122.59,209380.30000000005,True,4.492,1.0,1.0,1.0,10.0,15.0,-10.0,2175399.69,2240356.1,1753741.21,1.2245,1.2061,1.2646,3.0,1.0,5.0,-10.0,0.040100000000000025,1,,
ACC00013,R27,Technology,6,117,592532.36,0.1734,0.15–0.49,546436.65,209887.24,0.38410168864039407,57,0.48717948717948717,3682.232280701754,844.58,4879.786,56988.68,-336549.41000000003,False,3.276,1.0,0.0,0.0,0.0,0.0,-5.0,596282.52,547555.75,546436.65,0.2164,0.1757,0.2582,1.0,0.3333333333333333,-1.6666666666666667,-2.5,0.041799999999999976,0,,
ACC00014,R40,Technology,5,322,2142166.27,0.9063,0.50–0.99,2220063.34,1779658.1,0.8016249212060771,245,0.7608695652173914,7263.910612244898,1996.24,13655.973999999998,136271.82,-440405.23999999976,False,3.722,1.0,1.0,1.0,15.0,0.0,5.0,2518642.33,2012417.84,2220063.34,0.8932,0.9275,0.9088,3.0,1.0,6.666666666666667,-5.0,0.015600000000000058,0,,
ACC00015,R38,Technology,1,137,830757.75,0.8645,0.50–0.99,745314.06,389483.26,0.5225760265410798,93,0.6788321167883211,4187.992043010753,1531.77,8109.461999999998,131676.97,-355830.80000000005,False,4.048,0.0,1.0,1.0,15.0,5.0,-5.0,908002.46,798911.6,745314.06,0.8489,0.855,0.7934,2.0,0.6666666666666666,5.0,-10.0,-0.055499999999999994,0,,
