,latest_premium,paid_claims,latest_mlr,latest_claim_count,latest_claim_frequency,latest_claim_severity,covered_lives_2025,latest_risk_score,renewal_rate_3yr,rate_change_mean_3yr,rate_change_slope,unemployment_rate_2025
latest_premium,1.0,0.7170046555552431,0.051495296565228936,0.9189030620070641,0.10536707404382471,0.12305582676928652,0.9587116327870352,0.09597722476403314,0.00591267807523993,0.06986716636233634,0.08760570446004474,-0.0027945250662120354
paid_claims,0.7170046555552431,1.0,0.6954751156092622,0.8937375011267059,0.6721460983814493,0.711561661979811,0.6695286003384006,0.6431720008402586,0.22803343914406293,-0.015486598042006588,0.011276205437822118,0.012474422786198919
latest_mlr,0.051495296565228936,0.6954751156092622,1.0,0.3650034545971581,0.8854676997011748,0.9321130650239587,0.029586918493750496,0.8444756924057247,0.32329417388066684,-0.09514626444158804,-0.08139666563385449,0.021899936373038022
latest_claim_count,0.9189030620070641,0.8937375011267059,0.3650034545971581,1.0,0.38242192927992386,0.35359977959150757,0.9163592526834087,0.340964992268494,0.11391786504877431,-0.00869579611630719,0.0028608970069185754,0.00708752301372472
latest_claim_frequency,0.10536707404382471,0.6721460983814493,0.8854676997011748,0.38242192927992386,1.0,0.8306338997768985,0.015621738515343502,0.875216543363557,0.3139693882411923,-0.015118562279487496,0.003060486232928202,0.014821252298387329
latest_claim_severity,0.12305582676928652,0.711561661979811,0.9321130650239587,0.35359977959150757,0.8306338997768985,1.0,0.03250726541930323,0.8381855293523207,0.3043897603726447,-0.018643702829530057,0.01887279997678999,0.018001473974736632
covered_lives_2025,0.9587116327870352,0.6695286003384006,0.029586918493750496,0.9163592526834087,0.015621738515343502,0.03250726541930323,1.0,0.004327913259336717,-0.01275786146964812,-0.0014703818194183689,-1.7072495663750423e-05,0.0032248829917140122
latest_risk_score,0.09597722476403314,0.6431720008402586,0.8444756924057247,0.340964992268494,0.875216543363557,0.8381855293523207,0.004327913259336717,1.0,0.3408052437036648,-0.009619601502975304,0.007654712994309538,0.009160795654214782
renewal_rate_3yr,0.00591267807523993,0.22803343914406293,0.32329417388066684,0.11391786504877431,0.3139693882411923,0.3043897603726447,-0.01275786146964812,0.3408052437036648,1.0,-0.22532889743037124,0.010626380600831126,0.00907738828084286
rate_change_mean_3yr,0.06986716636233634,-0.015486598042006588,-0.09514626444158804,-0.00869579611630719,-0.015118562279487496,-0.018643702829530057,-0.0014703818194183689,-0.009619601502975304,-0.22532889743037124,1.0,0.005179269003267954,-0.03433791571434926
rate_change_slope,0.08760570446004474,0.011276205437822118,-0.08139666563385449,0.0028608970069185754,0.003060486232928202,0.01887279997678999,-1.7072495663750423e-05,0.007654712994309538,0.010626380600831126,0.005179269003267954,1.0,-0.016389405493668747
unemployment_rate_2025,-0.0027945250662120354,0.012474422786198919,0.021899936373038022,0.00708752301372472,0.014821252298387329,0.018001473974736632,0.0032248829917140122,0.009160795654214782,0.00907738828084286,-0.03433791571434926,-0.016389405493668747,1.0
