quote_year,rate_band,accounts,renewals,renewal_probability
2023,<-1%,1379,1266,0.9180565627266135
2023,-1 to 0%,0,0,
2023,0-5%,1240,1141,0.9201612903225806
2023,5-10%,1471,1294,0.8796736913664174
2023,10-15%,1282,1064,0.8299531981279251
2023,15-20%,993,755,0.7603222557905337
2023,20%+,935,599,0.6406417112299465
2024,<-1%,1374,1261,0.9177583697234353
2024,-1 to 0%,0,0,
2024,0-5%,1221,1123,0.9197379197379197
2024,5-10%,1466,1290,0.8799454297407913
2024,10-15%,1316,1092,0.8297872340425532
2024,15-20%,972,739,0.7602880658436214
2024,20%+,951,609,0.6403785488958991
2025,<-1%,1395,1281,0.9182795698924732
2025,-1 to 0%,0,0,
2025,0-5%,1244,1144,0.9196141479099679
2025,5-10%,1480,1302,0.8797297297297297
2025,10-15%,1349,1120,0.8302446256486287
2025,15-20%,902,686,0.7605321507760532
2025,20%+,930,596,0.6408602150537634
