quote_year,segment_type,segment,rate_band,accounts,renewals,renewal_probability
2023,Risk band at quote,<0.5,<-1%,337,287,0.8516320474777448
2023,Risk band at quote,<0.5,-1 to 0%,0,0,
2023,Risk band at quote,<0.5,0-5%,299,263,0.8795986622073578
2023,Risk band at quote,<0.5,5-10%,345,275,0.7971014492753623
2023,Risk band at quote,<0.5,10-15%,310,233,0.7516129032258064
2023,Risk band at quote,<0.5,15-20%,241,147,0.6099585062240664
2023,Risk band at quote,<0.5,20%+,237,115,0.48523206751054854
2023,Risk band at quote,0.5-1.0,<-1%,622,571,0.9180064308681672
2023,Risk band at quote,0.5-1.0,-1 to 0%,0,0,
2023,Risk band at quote,0.5-1.0,0-5%,514,463,0.9007782101167315
2023,Risk band at quote,0.5-1.0,5-10%,646,561,0.868421052631579
2023,Risk band at quote,0.5-1.0,10-15%,545,446,0.818348623853211
2023,Risk band at quote,0.5-1.0,15-20%,439,324,0.7380410022779044
2023,Risk band at quote,0.5-1.0,20%+,407,244,0.5995085995085995
2023,Risk band at quote,1.0-1.5,<-1%,185,177,0.9567567567567568
2023,Risk band at quote,1.0-1.5,-1 to 0%,0,0,
2023,Risk band at quote,1.0-1.5,0-5%,211,202,0.957345971563981
2023,Risk band at quote,1.0-1.5,5-10%,223,211,0.9461883408071748
2023,Risk band at quote,1.0-1.5,10-15%,215,182,0.8465116279069768
2023,Risk band at quote,1.0-1.5,15-20%,166,141,0.8493975903614458
2023,Risk band at quote,1.0-1.5,20%+,138,97,0.7028985507246377
2023,Risk band at quote,1.5-2.5,<-1%,133,129,0.9699248120300752
2023,Risk band at quote,1.5-2.5,-1 to 0%,0,0,
2023,Risk band at quote,1.5-2.5,0-5%,142,139,0.9788732394366197
2023,Risk band at quote,1.5-2.5,5-10%,174,164,0.9425287356321839
2023,Risk band at quote,1.5-2.5,10-15%,139,130,0.935251798561151
2023,Risk band at quote,1.5-2.5,15-20%,93,89,0.956989247311828
2023,Risk band at quote,1.5-2.5,20%+,84,76,0.9047619047619048
2023,Risk band at quote,>2.5,<-1%,102,102,1.0
2023,Risk band at quote,>2.5,-1 to 0%,0,0,
2023,Risk band at quote,>2.5,0-5%,74,74,1.0
2023,Risk band at quote,>2.5,5-10%,83,83,1.0
2023,Risk band at quote,>2.5,10-15%,73,73,1.0
2023,Risk band at quote,>2.5,15-20%,54,54,1.0
2023,Risk band at quote,>2.5,20%+,69,67,0.9710144927536232
2024,Risk band at quote,<0.5,<-1%,313,263,0.8402555910543131
2024,Risk band at quote,<0.5,-1 to 0%,0,0,
2024,Risk band at quote,<0.5,0-5%,292,248,0.8493150684931506
2024,Risk band at quote,<0.5,5-10%,352,287,0.8153409090909091
2024,Risk band at quote,<0.5,10-15%,345,255,0.7391304347826086
2024,Risk band at quote,<0.5,15-20%,241,160,0.6639004149377593
2024,Risk band at quote,<0.5,20%+,227,109,0.4801762114537445
2024,Risk band at quote,0.5-1.0,<-1%,606,560,0.9240924092409241
2024,Risk band at quote,0.5-1.0,-1 to 0%,0,0,
2024,Risk band at quote,0.5-1.0,0-5%,538,498,0.9256505576208178
2024,Risk band at quote,0.5-1.0,5-10%,654,563,0.8608562691131498
2024,Risk band at quote,0.5-1.0,10-15%,539,440,0.8163265306122449
2024,Risk band at quote,0.5-1.0,15-20%,406,293,0.7216748768472906
2024,Risk band at quote,0.5-1.0,20%+,436,276,0.6330275229357798
2024,Risk band at quote,1.0-1.5,<-1%,212,200,0.9433962264150944
2024,Risk band at quote,1.0-1.5,-1 to 0%,0,0,
2024,Risk band at quote,1.0-1.5,0-5%,171,160,0.935672514619883
2024,Risk band at quote,1.0-1.5,5-10%,219,202,0.9223744292237442
2024,Risk band at quote,1.0-1.5,10-15%,221,194,0.8778280542986425
2024,Risk band at quote,1.0-1.5,15-20%,159,127,0.7987421383647799
2024,Risk band at quote,1.0-1.5,20%+,148,93,0.6283783783783784
2024,Risk band at quote,1.5-2.5,<-1%,150,145,0.9666666666666667
2024,Risk band at quote,1.5-2.5,-1 to 0%,0,0,
2024,Risk band at quote,1.5-2.5,0-5%,152,150,0.9868421052631579
2024,Risk band at quote,1.5-2.5,5-10%,147,144,0.9795918367346939
2024,Risk band at quote,1.5-2.5,10-15%,135,128,0.9481481481481482
2024,Risk band at quote,1.5-2.5,15-20%,109,103,0.944954128440367
2024,Risk band at quote,1.5-2.5,20%+,85,76,0.8941176470588236
2024,Risk band at quote,>2.5,<-1%,93,93,1.0
2024,Risk band at quote,>2.5,-1 to 0%,0,0,
2024,Risk band at quote,>2.5,0-5%,68,67,0.9852941176470589
2024,Risk band at quote,>2.5,5-10%,94,94,1.0
2024,Risk band at quote,>2.5,10-15%,76,75,0.9868421052631579
2024,Risk band at quote,>2.5,15-20%,57,56,0.9824561403508771
2024,Risk band at quote,>2.5,20%+,55,55,1.0
2025,Risk band at quote,<0.5,<-1%,348,305,0.8764367816091954
2025,Risk band at quote,<0.5,-1 to 0%,0,0,
2025,Risk band at quote,<0.5,0-5%,288,247,0.8576388888888888
2025,Risk band at quote,<0.5,5-10%,354,280,0.7909604519774012
2025,Risk band at quote,<0.5,10-15%,350,258,0.7371428571428571
2025,Risk band at quote,<0.5,15-20%,215,130,0.6046511627906976
2025,Risk band at quote,<0.5,20%+,212,100,0.4716981132075472
2025,Risk band at quote,0.5-1.0,<-1%,581,526,0.9053356282271945
2025,Risk band at quote,0.5-1.0,-1 to 0%,0,0,
2025,Risk band at quote,0.5-1.0,0-5%,564,515,0.9131205673758865
2025,Risk band at quote,0.5-1.0,5-10%,670,585,0.8731343283582089
2025,Risk band at quote,0.5-1.0,10-15%,559,456,0.815742397137746
2025,Risk band at quote,0.5-1.0,15-20%,390,295,0.7564102564102564
2025,Risk band at quote,0.5-1.0,20%+,420,251,0.5976190476190476
2025,Risk band at quote,1.0-1.5,<-1%,222,207,0.9324324324324325
2025,Risk band at quote,1.0-1.5,-1 to 0%,0,0,
2025,Risk band at quote,1.0-1.5,0-5%,196,189,0.9642857142857143
2025,Risk band at quote,1.0-1.5,5-10%,221,206,0.9321266968325792
2025,Risk band at quote,1.0-1.5,10-15%,207,183,0.8840579710144928
2025,Risk band at quote,1.0-1.5,15-20%,140,115,0.8214285714285714
2025,Risk band at quote,1.0-1.5,20%+,145,108,0.7448275862068966
2025,Risk band at quote,1.5-2.5,<-1%,157,156,0.9936305732484076
2025,Risk band at quote,1.5-2.5,-1 to 0%,0,0,
2025,Risk band at quote,1.5-2.5,0-5%,118,115,0.9745762711864406
2025,Risk band at quote,1.5-2.5,5-10%,153,149,0.9738562091503268
2025,Risk band at quote,1.5-2.5,10-15%,149,139,0.9328859060402684
2025,Risk band at quote,1.5-2.5,15-20%,102,93,0.9117647058823529
2025,Risk band at quote,1.5-2.5,20%+,89,73,0.8202247191011236
2025,Risk band at quote,>2.5,<-1%,87,87,1.0
2025,Risk band at quote,>2.5,-1 to 0%,0,0,
2025,Risk band at quote,>2.5,0-5%,78,78,1.0
2025,Risk band at quote,>2.5,5-10%,82,82,1.0
2025,Risk band at quote,>2.5,10-15%,84,84,1.0
2025,Risk band at quote,>2.5,15-20%,55,53,0.9636363636363636
2025,Risk band at quote,>2.5,20%+,64,64,1.0
2023,Industry (stable B1 attribute),Financial services,<-1%,174,168,0.9655172413793104
2023,Industry (stable B1 attribute),Financial services,-1 to 0%,0,0,
2023,Industry (stable B1 attribute),Financial services,0-5%,149,134,0.8993288590604027
2023,Industry (stable B1 attribute),Financial services,5-10%,167,152,0.9101796407185628
2023,Industry (stable B1 attribute),Financial services,10-15%,160,130,0.8125
2023,Industry (stable B1 attribute),Financial services,15-20%,112,82,0.7321428571428571
2023,Industry (stable B1 attribute),Financial services,20%+,130,76,0.5846153846153846
2023,Industry (stable B1 attribute),Healthcare,<-1%,170,156,0.9176470588235294
2023,Industry (stable B1 attribute),Healthcare,-1 to 0%,0,0,
2023,Industry (stable B1 attribute),Healthcare,0-5%,159,151,0.949685534591195
2023,Industry (stable B1 attribute),Healthcare,5-10%,166,150,0.9036144578313253
