table,column,dtype,non_null,unique
B1,account_id,object,7300,7300
B1,rating_region,object,7300,48
B1,industry,object,7300,8
B1,covered_lives_2025,int64,7300,937
B1,annual_premium_2025,float64,7300,7300
B1,risk_score_2025,float64,7300,5877
B1,risk_band,object,7300,5
B1,renewal_month,int64,7300,12
B1,account_status,object,7300,1
B2,quote_id,object,21900,21900
B2,account_id,object,21900,7300
B2,quote_year,int64,21900,3
B2,quoted_rate_change_pct,int64,21900,9
B2,renewed_flag,int64,21900,2
B2,quoted_annual_premium,float64,21900,21900
B2,risk_score_at_quote,float64,21900,12878
B3,claim_episode_id,object,1650000,1650000
B3,account_id,object,1650000,7300
B3,member_token,object,1650000,1131989
B3,provider_id,object,1650000,12000
B3,service_date,datetime64[ns],1650000,365
B3,care_setting,object,1650000,5
B3,diagnosis_group,object,1650000,8
B3,procedure_group,object,1650000,8
B3,billed_amount,float64,1650000,1047400
B3,allowed_amount,float64,1650000,921013
B3,paid_amount,float64,1650000,862396
B3,member_cost_share,float64,1650000,417872
B3,episode_status,object,1650000,1
B4,rating_region,object,192,48
B4,calendar_year,int64,192,4
B4,medical_cost_inflation_pct,float64,192,188
B4,utilization_trend_pct,float64,192,178
B4,unemployment_rate_pct,float64,192,184
