account_id,rating_region,industry,covered_lives_2025,annual_premium_2025,risk_score_2025,risk_band,renewal_month,account_status,prior_renewal_rate,prior_rate_mean,prior_rate_last,paid_claims_2025,process_cv
ACC00001,R24,Retail,113,684580.32,0.717,0.50–0.99,1,Active,1.0,3.3333333333333335,-10,315973.42,0.24580198084832697
ACC00002,R47,Financial services,76,499477.76,0.7489,0.50–0.99,5,Active,1.0,5.0,10,695337.76,0.4560749563864018
ACC00003,R04,Financial services,349,1814285.13,0.2664,0.15–0.49,11,Active,1.0,8.333333333333334,5,526992.84,0.17088115015203395
ACC00004,R23,Financial services,233,1834061.38,0.53,0.50–0.99,7,Active,0.6666666666666666,6.666666666666667,5,1106250.57,0.19480919908399882
ACC00005,R39,Retail,256,1756384.54,2.0557,1.50–2.49,7,Active,1.0,5.0,5,2893400.31,0.14480303538506684
ACC00006,R31,Technology,197,1363414.01,1.1874,1.00–1.49,9,Active,1.0,5.0,10,1463115.69,0.25268360161004794
ACC00007,R01,Hospitality,224,1140978.78,0.8864,0.50–0.99,11,Active,1.0,13.333333333333334,20,881956.12,0.19254008284296675
ACC00008,R01,Healthcare,128,649001.11,0.2714,0.15–0.49,4,Active,0.6666666666666666,-3.3333333333333335,0,278013.36,0.23727498982837025
ACC00009,R19,Healthcare,62,432274.67,0.3413,0.15–0.49,8,Active,0.3333333333333333,0.0,-5,106130.76999999999,0.37299199599017907
ACC00010,R33,Retail,223,1666802.68,0.4028,0.15–0.49,4,Active,0.6666666666666666,8.333333333333334,0,289855.75,0.18152521674440758
ACC00011,R05,Healthcare,147,851188.63,0.7271,0.50–0.99,9,Active,0.6666666666666666,16.666666666666668,10,531590.98,0.17542275582050357
ACC00012,R19,Manufacturing,254,1947028.19,1.262,1.00–1.49,12,Active,1.0,5.0,-10,1963121.51,0.21678795445811333
ACC00013,R27,Technology,117,592532.36,0.1734,0.15–0.49,6,Active,0.3333333333333333,-1.6666666666666667,-5,209887.24,0.3748419163899333
ACC00014,R40,Technology,322,2142166.27,0.9063,0.50–0.99,5,Active,1.0,6.666666666666667,5,1779658.1,0.16397147843311538
ACC00015,R38,Technology,137,830757.75,0.8645,0.50–0.99,1,Active,0.6666666666666666,5.0,-5,389483.26,0.3567656016804036
ACC00016,R07,Logistics,498,2988052.42,1.1046,1.00–1.49,12,Active,1.0,5.0,0,3538125.32,0.08877817026433299
ACC00017,R21,Hospitality,491,3574921.69,0.2418,0.15–0.49,2,Active,1.0,3.3333333333333335,10,756884.44,0.1422724895995564
ACC00018,R26,Manufacturing,330,2130559.54,0.5822,0.50–0.99,11,Active,0.6666666666666666,-5.0,-10,1239818.26,0.12810156314791518
ACC00019,R12,Professional services,441,3141578.33,3.087,2.50–5.00,7,Active,1.0,13.333333333333334,10,11582669.55,0.11519317178709826
ACC00020,R18,Manufacturing,371,2363669.21,0.2475,0.15–0.49,7,Active,1.0,0.0,-5,575797.03,0.14434928724079002
ACC00021,R40,Financial services,604,4048724.75,0.7026,0.50–0.99,12,Active,1.0,-5.0,5,2221664.67,0.09984084698709966
ACC00022,R30,Manufacturing,187,1111677.62,0.7709,0.50–0.99,1,Active,0.3333333333333333,11.666666666666666,5,595969.85,0.1896809652231139
ACC00023,R03,Retail,257,1670725.53,0.8608,0.50–0.99,6,Active,0.6666666666666666,5.0,0,1174346.69,0.15480974908508097
ACC00024,R48,Logistics,421,2971019.59,0.2045,0.15–0.49,3,Active,0.6666666666666666,5.0,15,648520.6,0.11979494303408646
ACC00025,R32,Financial services,224,1942277.16,3.079,2.50–5.00,2,Active,0.6666666666666666,13.333333333333334,10,4924127.44,0.11768959184146437
ACC00026,R15,Retail,428,2722264.85,4.4549,2.50–5.00,7,Active,1.0,5.0,10,10963670.91,0.08491311791063465
ACC00027,R37,Healthcare,157,975853.19,0.7536,0.50–0.99,2,Active,1.0,-1.6666666666666667,-10,474782.32,0.25273683531562285
ACC00028,R48,Professional services,146,1008505.03,1.9801,1.50–2.49,9,Active,1.0,0.0,-10,1767662.42,0.14045942820360954
ACC00029,R38,Healthcare,62,263354.14,0.438,0.15–0.49,9,Active,0.6666666666666666,10.0,10,105151.6,0.31597628155381696
