account_id,rating_region,industry,risk_band,risk_score_2025,covered_lives_2025,annual_premium_2025,paid_claims_2025,fy2025_mlr,recommended_rate_change_pct,expected_renewal_probability,premium_if_renewed,projected_2026_premium,projected_2026_paid_claims,projected_case_mlr,expected_contribution
ACC00001,R24,Retail,0.50–0.99,0.717,113,684580.32,315973.42,0.46155784904830455,7,0.8198056481997753,732500.9423999999,600508.4098911782,259036.79439699985,0.431362475746079,341471.6154941784
ACC00002,R47,Financial services,0.50–0.99,0.7489,76,499477.76,695337.76,1.392129571494835,25,0.5719516252528358,624347.2,357096.39576205733,397699.5619316663,1.113703657195868,-40603.16616960894
ACC00003,R04,Financial services,0.15–0.49,0.2664,349,1814285.13,526992.84,0.29046858803279724,0,0.8396383487148437,1814285.13,1523343.3706510954,442483.3979621458,0.29046858803279724,1080859.9726889497
ACC00004,R23,Financial services,0.50–0.99,0.53,233,1834061.38,1106250.57,0.6031698731914851,7,0.7621588843206667,1962445.6766,1495695.4074173719,843138.7002103017,0.563710161861201,652556.7072070702
ACC00005,R39,Retail,1.50–2.49,2.0557,256,1756384.54,2893400.31,1.64736152255132,25,0.8348289783235768,2195480.675,1832850.8888394067,2415494.4246784206,1.3178892180410562,-582643.535839014
ACC00006,R31,Technology,1.00–1.49,1.1874,197,1363414.01,1463115.69,1.073126489289926,25,0.6873590525451968,1704267.5125,1171443.7026755593,1005685.8144424119,0.8585011914319407,165757.88823314745
ACC00007,R01,Hospitality,0.50–0.99,0.8864,224,1140978.78,881956.12,0.772982053180691,19,0.739512995552177,1357764.7482,1004084.6761965293,652218.0122467752,0.6495647505720092,351866.6639497541
ACC00008,R01,Healthcare,0.15–0.49,0.2714,128,649001.11,278013.36,0.42837116257012253,4,0.8213595755902602,674961.1544,554385.807317896,228348.9353780222,0.41189534862511784,326036.87193987385
ACC00009,R19,Healthcare,0.15–0.49,0.3413,62,432274.67,106130.77,0.24551697650940318,4,0.8580624092456582,449565.6568,385755.39058791474,91066.82420129683,0.2360740158744261,294688.5663866179
ACC00010,R33,Retail,0.15–0.49,0.4028,223,1666802.68,289855.75,0.1738992584293181,0,0.8312930553768167,1666802.68,1385601.4925674666,240955.07203603876,0.1738992584293181,1144646.4205314277
