rate_change_pct,accounts,fy2025_premium,fy2025_mlr,expected_retention,expected_premium_2026,expected_claims_2026,expected_contribution_2026,share_of_accounts,mlr_2026
-15,0.0,,,,,,,0.0,
-14,0.0,,,,,,,0.0,
-13,0.0,,,,,,,0.0,
-12,0.0,,,,,,,0.0,
-11,0.0,,,,,,,0.0,
-10,0.0,,,,,,,0.0,
-9,0.0,,,,,,,0.0,
-8,0.0,,,,,,,0.0,
-7,0.0,,,,,,,0.0,
-6,0.0,,,,,,,0.0,
-5,0.0,,,,,,,0.0,
-4,0.0,,,,,,,0.0,
-3,0.0,,,,,,,0.0,
-2,0.0,,,,,,,0.0,
-1,0.0,,,,,,,0.0,
0,1156.0,1761283510.34,0.25435243614670544,0.8544829950948292,1494237629.1662273,379725212.9021131,1114512416.2641144,0.15835616438356165,0.2541263889291804
1,278.0,548980770.93,0.2934533609384685,0.8660872629348015,476409637.5583675,138137777.6842285,338271859.87413895,0.038082191780821915,0.289955884167655
2,239.0,466052533.64,0.29664822001974855,0.867638389711367,409453531.8427246,118900166.5763978,290553365.2663268,0.03273972602739726,0.2903874489524946
3,221.0,389105380.03000003,0.3282565488818281,0.8665487384394289,344806677.35028774,109631971.44137894,235174705.9089088,0.030273972602739726,0.31795199641683347
4,244.0,423483589.5,0.3838367111507635,0.860433594315116,375144158.8213867,138166974.68713212,236977184.1342546,0.033424657534246574,0.36830368123342166
5,297.0,481365515.77,0.43462798319762574,0.8567375180130095,427301046.82452446,176336518.8649519,250964527.95957252,0.04068493150684931,0.4126751389339945
6,333.0,584774386.46,0.45145718571594495,0.8512207277740322,523168492.0633219,222167228.12351713,301001263.9398048,0.045616438356164385,0.42465712575180664
7,394.0,709737388.49,0.4940901814205902,0.844462271859461,634737559.6911789,292211361.1906565,342526198.50052243,0.053972602739726025,0.46036563730816105
8,386.0,816850273.4,0.5041670411222757,0.8401005679668148,733997999.5215521,341336661.5322716,392661337.9892805,0.052876712328767124,0.4650375910489782
9,368.0,883063576.86,0.5198889076621767,0.8345510056464827,796953691.4644202,378981410.954863,417972280.50955725,0.05041095890410959,0.4755375563396616
10,326.0,756904712.65,0.5399237837867359,0.8318729480519326,687565345.1720053,335978991.9494944,351586353.22251093,0.04465753424657534,0.4886502705651111
11,280.0,678941900.65,0.5710155679283307,0.8262002649807649,617641338.3834944,316505167.7441722,301136170.6393222,0.038356164383561646,0.5124416843155886
12,244.0,593840177.92,0.6036713371022426,0.8159935757659939,540761911.0369164,289942609.64028573,250819301.39663064,0.033424657534246574,0.5361742454906224
13,152.0,354234034.71,0.6344079709449102,0.8105182180346325,323460241.84828955,180658474.82753822,142801767.0207513,0.020821917808219178,0.5585183322538642
14,100.0,200521464.24,0.6760843441564925,0.8140816413012513,184160046.95680562,108912669.23827897,75247377.71852666,0.0136986301369863,0.591402266876182
15,101.0,395643458.58,1.5599872305868063,0.8293990665665508,399323219.8923438,572588733.2036165,-173265513.3112727,0.013835616438356164,1.433897916975588
16,99.0,208286717.09,0.7394589763179602,0.8003587794867196,190245908.57683694,120949807.60330373,69296100.9735332,0.013561643835616439,0.6357551051062643
17,89.0,150111728.82,0.7924961200243673,0.7908811290586679,136970686.65943047,92356409.40667637,44614277.25275411,0.012191780821917807,0.6742786479293568
18,92.0,199285246.69,0.7936833584878557,0.7808762759778659,181688307.09501055,121772200.00158423,59916107.09342633,0.012602739726027398,0.6702258496905126
19,68.0,136652306.66,0.8042479741922273,0.7864481896179943,126878090.27273318,85499804.50165214,41378285.77108105,0.009315068493150684,0.6738736713160202
20,82.0,193096462.6,0.8474846631913391,0.7616621808591536,173878721.15130797,122185630.63239671,51693090.51891124,0.011232876712328766,0.7027060575518708
21,70.0,176380043.95,0.8760228081346956,0.7441247868608916,157724788.88403168,113796016.81766377,43928772.066367924,0.009589041095890411,0.7214846672030301
22,51.0,116807007.4,0.8888411829134832,0.7426015140535255,105739391.88561042,76748995.80047053,28990396.085139874,0.006986301369863014,0.7258316359857461
23,61.0,155211716.52,0.9235957568417721,0.7298222306884148,137531901.1953425,102924805.50278966,34607095.69255287,0.008356164383561644,0.7483704115789187
24,358.0,879305215.26,1.0420914993993937,0.7144820524809481,773895787.0574948,648606293.9002254,125289493.15726937,0.04904109589041096,0.8381054720123948
25,1211.0,2740080880.84,2.342093785568345,0.8723752697899799,2986912856.809236,5769624804.393934,-2782711947.584698,0.1658904109589041,1.931634795183588
