recommended_rate_change_pct,0.15–0.49,0.50–0.99,1.00–1.49,1.50–2.49,2.50–5.00
-15,0,0,0,0,0
-14,0,0,0,0,0
-13,0,0,0,0,0
-12,0,0,0,0,0
-11,0,0,0,0,0
-10,0,0,0,0,0
-9,0,0,0,0,0
-8,0,0,0,0,0
-7,0,0,0,0,0
-6,0,0,0,0,0
-5,0,0,0,0,0
-4,0,0,0,0,0
-3,0,0,0,0,0
-2,0,0,0,0,0
-1,0,0,0,0,0
0,1106,50,0,0,0
1,232,46,0,0,0
2,162,77,0,0,0
3,96,125,0,0,0
4,54,190,0,0,0
5,19,278,0,0,0
6,8,325,0,0,0
7,2,392,0,0,0
8,0,385,1,0,0
9,1,360,7,0,0
10,0,317,9,0,0
11,0,262,18,0,0
12,0,221,23,0,0
13,0,129,23,0,0
14,0,64,36,0,0
15,0,41,45,7,8
16,0,34,65,0,0
17,0,16,72,1,0
18,0,16,75,1,0
19,0,1,66,1,0
20,0,3,78,1,0
21,0,1,69,0,0
22,0,0,48,3,0
23,0,1,57,3,0
24,0,6,318,34,0
25,0,0,70,709,432
