account_id,rating_region,industry,risk_band,risk_score_2025,covered_lives_2025,annual_premium_2025,paid_claims_2025,fy2025_mlr,recommended_rate_change_pct,expected_renewal_probability,premium_if_renewed,projected_2026_premium,projected_2026_paid_claims,projected_case_mlr,expected_contribution
ACC00001,R24,Retail,0.50–0.99,0.717,113,684580.32,315973.42,0.46155784904830455,2,0.8763095491173333,698271.9264,611902.3569848757,276890.5252132618,0.45250769514539657,335011.831771614
ACC00002,R47,Financial services,0.50–0.99,0.7489,76,499477.76,695337.76,1.392129571494835,23,0.6157355219878397,614357.6448,378281.8251081478,428144.1586114552,1.1318126597518983,-49862.33350330737
ACC00003,R04,Financial services,0.15–0.49,0.2664,349,1814285.13,526992.84,0.29046858803279724,0,0.8396383487148437,1814285.13,1523343.3706510954,442483.3979621458,0.29046858803279724,1080859.9726889497
ACC00004,R23,Financial services,0.50–0.99,0.53,233,1834061.38,1106250.57,0.6031698731914851,5,0.7927118792016161,1925764.449,1526576.3552664549,876937.968212559,0.5744474982776048,649638.3870538959
ACC00005,R39,Retail,1.50–2.49,2.0557,256,1756384.54,2893400.31,1.64736152255132,25,0.8348289783235768,2195480.675,1832850.8888394067,2415494.4246784206,1.3178892180410562,-582643.535839014
ACC00006,R31,Technology,1.00–1.49,1.1874,197,1363414.01,1463115.69,1.073126489289926,25,0.6873590525451968,1704267.5125,1171443.7026755593,1005685.8144424119,0.8585011914319407,165757.88823314745
ACC00007,R01,Hospitality,0.50–0.99,0.8864,224,1140978.78,881956.12,0.772982053180691,14,0.816780034111606,1300715.8092000003,1062398.7030078815,720364.1497785397,0.6780544326146412,342034.55322934187
ACC00008,R01,Healthcare,0.15–0.49,0.2714,128,649001.11,278013.36,0.42837116257012253,0,0.8670866164511539,649001.11,562740.1765429431,241061.66365061657,0.42837116257012253,321678.5128923266
ACC00009,R19,Healthcare,0.15–0.49,0.3413,62,432274.67,106130.77,0.24551697650940318,0,0.8956378702843419,432274.67,387161.5648166667,95054.73681443733,0.24551697650940318,292106.8280022294
ACC00010,R33,Retail,0.15–0.49,0.4028,223,1666802.68,289855.75,0.1738992584293181,0,0.8312930553768167,1666802.68,1385601.4925674666,240955.07203603876,0.1738992584293181,1144646.4205314277
ACC00011,R05,Healthcare,0.50–0.99,0.7271,147,851188.63,531590.98,0.6245278205842576,6,0.8394798040117358,902259.9478000001,757429.004146783,446259.8917048066,0.5891771892304316,311169.11244197644
ACC00012,R19,Manufacturing,1.00–1.49,1.262,254,1947028.19,1963121.51,1.0082655814038317,25,0.7161694549177671,2433785.2375,1743002.6469272831,1405927.6617540438,0.8066124651230654,337074.9851732394
ACC00013,R27,Technology,0.15–0.49,0.1734,117,592532.36,209887.24,0.3542207213796728,0,0.8215433259584938,592532.36,486791.0057724356,172431.46122584862,0.3542207213796728,314359.5445465869
ACC00014,R40,Technology,0.50–0.99,0.9063,322,2142166.27,1779658.1,0.8307749612731976,16,0.7412904429412538,2484912.8732,1842042.1644448515,1319243.54123299,0.7161853114424117,522798.62321186136
ACC00015,R38,Technology,0.50–0.99,0.8645,137,830757.75,389483.26,0.4688289215478279,5,0.8733383084071952,872295.6375000001,761809.196485226,340150.6514413198,0.4465037348074551,421658.54504390626
ACC00016,R07,Logistics,1.00–1.49,1.1046,498,2988052.42,3538125.32,1.1840907797728661,25,0.6107699910788251,3735065.525,2281265.937383077,2160980.7701321654,0.9472726238182929,120285.1672509117
ACC00017,R21,Hospitality,0.15–0.49,0.2418,491,3574921.69,756884.44,0.2117205649894949,0,0.8684490099012157,3574921.69,3104637.2021548804,657315.542527636,0.2117205649894949,2447321.6596272443
ACC00018,R26,Manufacturing,0.50–0.99,0.5822,330,2130559.54,1239818.26,0.5819214327143376,8,0.8219717723711399,2301004.3032,1891360.5853349238,1019095.6125903028,0.5388161414021644,872264.972744621
ACC00019,R12,Professional services,2.50–5.00,3.087,441,3141578.33,11582669.55,3.6868950359738446,25,0.9614043722879273,3926972.9125,3775408.9279337563,11135629.14813624,2.9495160287790756,-7360220.220202483
ACC00020,R18,Manufacturing,0.15–0.49,0.2475,371,2363669.21,575797.03,0.24360305053006975,0,0.8656969844407807,2363669.21,2046221.3073125223,498465.7525209577,0.24360305053006975,1547755.5547915646
ACC00021,R40,Financial services,0.50–0.99,0.7026,604,4048724.75,2221664.67,0.5487319606006805,9,0.8176931676023376,4413109.9775,3608569.8764794557,1816640.021362502,0.5034238170648445,1791929.8551169538
ACC00022,R30,Manufacturing,0.50–0.99,0.7709,187,1111677.62,595969.85,0.5360995303656467,8,0.8461577748559136,1200611.8296000003,1015907.0342000235,504284.5221572126,0.49638845404226545,511622.5120428109
ACC00023,R03,Retail,0.50–0.99,0.8608,257,1670725.53,1174346.69,0.7028962381391275,12,0.8033034268849379,1871212.5936000003,1503151.488869133,943356.7204279838,0.6275859269099352,559794.7684411492
ACC00024,R48,Logistics,0.15–0.49,0.2045,421,2971019.59,648520.6,0.21828216891696767,0,0.8540319160071542,2971019.59,2537345.5529424897,553857.2905881093,0.21828216891696767,1983488.2623543805
ACC00025,R32,Financial services,2.50–5.00,3.079,224,1942277.16,4924127.44,2.535234178421786,25,0.9421393422876655,2427846.4499999997,2287369.657578443,4639214.187662247,2.028187342737429,-2351844.5300838035
ACC00026,R15,Retail,2.50–5.00,4.4549,428,2722264.85,10963670.91,4.027407880610881,25,0.9881769431045958,3402831.0625,3362599.197242614,10834046.805048583,3.2219263044887057,-7471447.607805969
ACC00027,R37,Healthcare,0.50–0.99,0.7536,157,975853.19,474782.32,0.4865304790365035,5,0.8522019703903416,1024645.8495,873205.2118961854,404610.42861049774,0.4633623609871461,468594.7832856877
ACC00028,R48,Professional services,1.50–2.49,1.9801,146,1008505.03,1767662.42,1.7527551845725549,25,0.8373248144865284,1260631.2875,1055557.858941851,1480107.6079013078,1.4022041476580438,-424549.7489594568
ACC00029,R38,Healthcare,0.15–0.49,0.438,62,263354.14,105151.6,0.39927832537586083,0,0.864303659092521,263354.14,227617.94683916407,90882.91263943314,0.39927832537586083,136735.03419973093
