rate_change_pct,accounts,fy2025_premium,fy2025_claims,expected_premium,expected_claims,avg_renewal_probability,share_of_accounts,fy2025_mlr,mlr_2026,contribution
-15,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
-14,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
-13,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
-12,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
-11,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
-10,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
-9,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
-8,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
-7,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
-6,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
-5,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
-4,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
-3,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
-2,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
-1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
0,1156,1761283510.34,447986751.6,1494237629.1662273,379725212.9021131,0.8544829950948292,0.15835616438356165,0.25435243614670544,0.2541263889291804,1114512416.2641144
1,278,548980770.93,161100252.32,476409637.5583675,138137777.6842285,0.8660872629348015,0.038082191780821915,0.2934533609384685,0.289955884167655,338271859.87413895
2,239,466052533.64,138253654.54,409453531.8427246,118900166.5763978,0.867638389711367,0.03273972602739726,0.29664822001974855,0.2903874489524946,290553365.2663268
3,221,389105380.03000003,127726389.2,344806677.35028774,109631971.44137894,0.8665487384394289,0.030273972602739726,0.3282565488818281,0.31795199641683347,235174705.90890878
4,244,423483589.5,162548548.22,375144158.8213867,138166974.68713212,0.860433594315116,0.033424657534246574,0.3838367111507635,0.36830368123342166,236977184.13425457
5,297,481365515.77,209214923.3,427301046.82452446,176336518.8649519,0.8567375180130095,0.04068493150684931,0.43462798319762574,0.4126751389339945,250964527.95957255
6,333,584774386.46,264000598.79,523168492.0633219,222167228.12351713,0.8512207277740322,0.045616438356164385,0.45145718571594495,0.42465712575180664,301001263.9398048
7,394,709737388.49,350674275.04,634737559.6911789,292211361.1906565,0.844462271859461,0.053972602739726025,0.4940901814205902,0.46036563730816105,342526198.50052243
8,386,816850273.4,411828985.38,733997999.5215521,341336661.5322716,0.8401005679668148,0.052876712328767124,0.5041670411222757,0.4650375910489782,392661337.98928046
9,368,883063576.86,459094958.37,796953691.4644202,378981410.954863,0.8345510056464827,0.05041095890410959,0.5198889076621767,0.4755375563396616,417972280.5095572
10,326,756904712.65,408670856.42,687565345.1720053,335978991.9494944,0.8318729480519326,0.04465753424657534,0.5399237837867359,0.4886502705651111,351586353.2225109
11,280,678941900.65,387686394.99,617641338.3834944,316505167.7441722,0.8262002649807649,0.038356164383561646,0.5710155679283307,0.5124416843155886,301136170.63932216
12,244,593840177.92,358484294.23,540761911.0369164,289942609.64028573,0.8159935757659939,0.033424657534246574,0.6036713371022426,0.5361742454906224,250819301.39663064
13,152,354234034.71,224728895.2,323460241.84828955,180658474.82753822,0.8105182180346325,0.020821917808219178,0.6344079709449102,0.5585183322538642,142801767.02075133
14,100,200521464.24,135569422.64,184160046.95680562,108912669.23827897,0.8140816413012513,0.0136986301369863,0.6760843441564925,0.591402266876182,75247377.71852665
15,101,395643458.58,617198743.25,399323219.8923438,572588733.2036165,0.8293990665665508,0.013835616438356164,1.5599872305868063,1.433897916975588,-173265513.31127268
16,99,208286717.09,154019482.6,190245908.57683694,120949807.60330373,0.8003587794867196,0.013561643835616439,0.7394589763179602,0.6357551051062643,69296100.97353321
17,89,150111728.82,118962962.66,136970686.65943047,92356409.40667637,0.7908811290586679,0.012191780821917807,0.7924961200243673,0.6742786479293568,44614277.25275411
18,92,199285246.69,158169383.89000002,181688307.09501055,121772200.00158423,0.7808762759778659,0.012602739726027398,0.7936833584878557,0.6702258496905126,59916107.09342632
19,68,136652306.66,109902340.8,126878090.27273318,85499804.50165214,0.7864481896179943,0.009315068493150684,0.8042479741922273,0.6738736713160202,41378285.771081045
20,82,193096462.6,163646290.57,173878721.15130797,122185630.63239671,0.7616621808591536,0.011232876712328766,0.8474846631913391,0.7027060575518708,51693090.51891126
21,70,176380043.95,154512941.4,157724788.88403168,113796016.81766377,0.7441247868608916,0.009589041095890411,0.8760228081346956,0.7214846672030301,43928772.06636791
22,51,116807007.4,103822878.63,105739391.88561042,76748995.80047053,0.7426015140535255,0.006986301369863014,0.8888411829134832,0.7258316359857461,28990396.085139886
23,61,155211716.52,143352882.79,137531901.1953425,102924805.50278966,0.7298222306884148,0.008356164383561644,0.9235957568417721,0.7483704115789187,34607095.69255285
24,358,879305215.26,916316490.2,773895787.0574948,648606293.9002254,0.7144820524809481,0.04904109589041096,1.0420914993993937,0.8381054720123948,125289493.15726936
25,1211,2740080880.84,6417526402.97,2986912856.809236,5769624804.393934,0.8723752697899799,0.1658904109589041,2.342093785568345,1.931634795183588,-2782711947.584698
