scenario,family,account_retention,premium_weighted_retention,case_mlr,expected_contribution,retention_pass,mlr_corridor_pass,mlr_ceiling_pass
Favorable,combined,0.8550091040235119,0.8485093290562196,0.7709562846286342,3262927407.9689198,True,False,True
Mild favorable,combined,0.8550091040235119,0.8485093290562196,0.811532931188036,2684877702.6213093,True,True,True
Base,base,0.8374669546277519,0.8303815292838925,0.814502653069598,2585942268.059286,True,True,True
Mild adverse,combined,0.8197683318180543,0.8121352964275965,0.8585217942185804,1928845205.6204433,True,False,False
Moderate adverse,combined,0.8108604271749169,0.8029681466098272,0.8602379337990942,1883896385.1593208,True,False,False
Severe adverse,combined,0.7929275281208541,0.7845464583365034,0.904949474704622,1251775541.2816849,False,False,False
Lapse shock only (-3 pts),renewal,0.8108604271749169,0.8029681466098272,0.8192742226658037,2436058995.6904488,True,True,True
Price response +25%,renewal,0.8000001501010944,0.7883967872977629,0.8075296750886959,2539263759.3797264,True,True,True
Adverse selection (risk<1.0 lapse),renewal,0.8021790932283978,0.7953731975847682,0.8304366951533925,2268791015.3843,True,True,True
Claims +4% only,claims,0.8374669546277519,0.8303815292838925,0.8470827591923819,2131756400.0944233,True,True,True
Claims +5% only,claims,0.8374669546277519,0.8303815292838925,0.855227785723078,2018209933.1032047,True,False,False
"B4 trend, rates not reloaded",B4 (separate),0.8374669546277519,0.8303815292838925,0.8697957642459957,1815123732.4324913,True,False,False
Combined severe (B4 + -5 pts),B4 (separate),0.7929275281208541,0.7845464583365034,0.8785323562263869,1599677908.7797318,False,False,False
